,Id,True title,True label,True Clickbait Score,Generated title,Generated Clickbait Score,id_code
0,0,Trump reverses course in 24 hours from Nato to China to Fed,0,0.01295275054872036,"Donald Trump's stunning reversals on Nato, China and Fed",0.012929756194353104,8.525547654353633e+17
1,1,President Trump says H&amp;R Block will be unhappy with his tax plan,0,0.012934084050357342,Trump: H&R Block 'Probably Won't Be Happy' With Tax Reform,0.012918959371745586,8.319398926451343e+17
2,2,"London’s commuters have been tracked, and this is what we learned",1,0.9023082256317139,London's WiFi is being used to track your location and learn more about your journey routes,0.013479563407599926,8.318027378766807e+17
3,3,"Plastic surgeons often miss patients' mental disorders, new research suggests",0,0.013242377899587154,"Nearly one in 10 patients seeking facial plastic surgery suffers from a mental illness that distorts their perception of physical defects, new research suggests",0.013683794066309929,8.223680734662779e+17
4,4,Fake news headline claims former President Obama is planning a coup against President Trump.,0,0.01368539035320282,Fake News Story Claims Obama Might Make Treasonous Coup Attempt Against Trump,0.013059482909739017,8.345376772361011e+17
5,5,"Rep. Adam Schiff says Russia was ""absolutely"" complicit in Syrian chemical attack  #ThisWeek",0,0.012939904816448689,Top Democrat: Russia Is 'Complicit' in Syria Chemical Attack,0.01302691362798214,8.511038595273646e+17
6,6,The parent of a Morehead State player claims head coach Sean Woods head-butted his son last year:,0,0.012958744540810585,"Morehead State basketball coach Sean Woods allegedly head-butted one of his players last year, the father of the athlete told ESPN",0.012953585013747215,8.091019216299827e+17
7,7,"""This game isn’t ours, it’s America’s game — and we’re just here to protect it."" 
6 baseball men who've done it all:",0,0.019890105351805687,"Ichiro Suzuki, Albert Pujols, C.C. Sabathia, Joe West",0.013512677513062954,8.475814643256525e+17
8,8,Don't farm XP in custom games or else 'Overwatch' will ban you,0,0.01449304074048996,Blizzard will ban players who farm experience in 'Overwatch',0.01317574456334114,8.395807621438751e+17
9,9,Former Soviet gymnast Olga Korbut says goodbye to her Olympic medals,0,0.012944169342517853,"Legendary Soviet gymnast Olga Korbut Sells Off Her Olympic Medals for $333,504",0.012957110069692135,8.36995723635884e+17
